id,title,picture,author,year,language,description,pages,availability,issued,ISBN
1,"The Complete Sherlock Holmes",https://fivebooks.com/app/uploads/books/BC_0141040289.jpg,"Sir Arthur Conan Doyle",2009,en,"The Penguin Complete Sherlock Holmes by Arthur Conan Doyle are the complete adventures of the original and best detective, containing four novels and fifty-six short stories about the most engaging detective of all time, with a foreword by crime writer Ruth Rendell. The detective Sherlock Holmes - who continues to enthral millions in film and TV adaptations starring actors like Robert Downey Jr and Benedict Cumberbatch - was the creation of Arthur Conan Doyle.

Sherlock Holmes, together with his faithful sidekick Doctor John H. Watson, proves himself as the quintessential detective. Time after time his pits his extraordinary wits and courage against foreign spies, blackmailers, cultists, petty thieves, murderers, swindlers, policemen (both stupid and clever), and his arch-nemesis Moriarty.

Continuing to enthral millions in film and TV adaptations, Arthur Conan Doyle's creation has inspired readers and writers of crime stories for well over a century. Join their ranks with this collection.",1136,2,1,9780141040288
2,"Harry Potter and the Chamber of Secrets",https://upload.wikimedia.org/wikipedia/en/5/5c/Harry_Potter_and_the_Chamber_of_Secrets.jpg,"J. K. Rowling",1998,en,"The Dursleys were so mean that hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike.",341,2,0,0
3,"Harry Potter and the Prisoner of Azkaban",https://upload.wikimedia.org/wikipedia/en/a/a0/Harry_Potter_and_the_Prisoner_of_Azkaban.jpg,"J. K. Rowling",1999,en,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.

Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter’s defeat of You-Know-Who was Black’s downfall as well. And the Azkaban guards heard Black muttering in his sleep, “He’s at Hogwarts… he’s at Hogwarts.”

Harry Potter isn’t safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may be a traitor in their midst.",464,2,1,0
4,"Harry Potter and the Goblet of Fire",https://upload.wikimedia.org/wikipedia/en/b/b6/Harry_Potter_and_the_Goblet_of_Fire_cover.png,"J. K. Rowling",2000,en,"The paperback edition of the legendary, record-breaking, best-selling fourth Harry Potter novel.
Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup. He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for a hundred years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards. And in his case, different can be deadly.",752,4,2,0
5,"Harry Potter and the Order of the Phoenix",https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Harry_Potter_and_the_Order_of_the_Phoenix.jpg/220px-Harry_Potter_and_the_Order_of_the_Phoenix.jpg,"J. K. Rowling",2003,en,"Harry is in his fifth year at Hogwarts School as the adventures continue. There is a door at the end of a silent corridor. And it's haunting Harry Potter's dreams. Why else would he be waking in the middle of the night, screaming in terror? Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defence Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams.",896,2,0,0
6,"Harry Potter and the Half-Blood Prince",https://upload.wikimedia.org/wikipedia/en/b/b5/Harry_Potter_and_the_Half-Blood_Prince_cover.png,"J. K. Rowling",2005,en,"The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.
And yet…

As in all wars, life goes on. Sixth-year students learn to Apparate — and lose a few eyebrows in the process. The Weasley twins expand their business. Teenagers flirt and fight and fall in love. Classes are never straightforward, though Harry receives some extraordinary help from the mysterious Half-Blood Prince.",688,1,0,0
7,"Harry Potter and the Deathly Hallows",https://upload.wikimedia.org/wikipedia/en/a/a9/Harry_Potter_and_the_Deathly_Hallows.jpg,"J. K. Rowling",2007,en,"The brilliant, breathtaking conclusion to J.K. Rowling's spellbinding series is not for the faint of heart--such revelations, battles, and betrayals await in Harry Potter and the Deathly Hallows that no fan will make it to the end unscathed. Luckily, Rowling has prepped loyal readers for the end of her series by doling out increasingly dark and dangerous tales of magic and mystery, shot through with lessons about honor and contempt, love and loss, and right and wrong. Fear not, you will find no spoilers in our review--to tell the plot would ruin the journey, and Harry Potter and the Deathly Hallows is an odyssey the likes of which Rowling's fans have not yet seen, and are not likely to forget. But we would be remiss if we did not offer one small suggestion before you embark on your final adventure with Harry--bring plenty of tissues.",784,2,1,0
8,"Deep Learning",https://images-na.ssl-images-amazon.com/images/I/614Fu%2B5JXHL._SX342_SY445_QL70_ML2_.jpg,"Ian Goodfellow, Aaron Courvill",2015,en,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives.",800,1,0,0
9,"Operations Management",https://www.mheducation.com/cover-images/Jpeg_400-high/126023889X.jpeg,"William J. Stevenson",2004,en,"Stevenson's Operations Management features integrated, up-to-date coverage of current topics and industry trends, while preserving the core concepts that have made the text the market leader in this course for over a decade. Stevenson's careful explanations and approachable format support students in understanding the important operations management concepts as well as applying tools and methods with an emphasis on problem solving.",912,2,1,0
10,"Big Shot Diary of a Wimpy Kid",https://m.media-amazon.com/images/P/B08XY2XLFK.01._SCLZZZZZZZ_SX500_.jpg,"Jeff Kinney",2021,en,"After a disastrous field day competition at school, Greg decides that when it comes to his athletic career, he’s officially retired. But after his mom urges him to give sports one more chance, he reluctantly agrees to sign up for basketball.

Tryouts are a mess, and Greg is sure he won’t make the cut. But he unexpectedly lands a spot on the worst team.

As Greg and his new teammates start the season, their chances of winning even a single game look slim. But in sports, anything can happen. When everything is on the line and the ball is in Greg’s hands, will he rise to the occasion? Or will he blow his big shot?",224,3,1,0
11,"A Day Like This",https://m.media-amazon.com/images/I/51uYWhRO1KL.jpg,"Kelley McNeil",2021,en,"Annie Beyers has everything—a beautiful house, a loving husband, and an adorable daughter. It’s a day like any other when she takes Hannah to the pediatrician…until she wakes hours later from a car accident.",288,2,0,0
12,"The Judge's List",https://www.books.lk/wp-content/uploads/2021/10/Judges-list.jpg,"John Grisham",2021,en,"n The Whistler, Lacy Stoltz investigated a corrupt judge who was taking millions in bribes from a crime syndicate. She put the criminals away, but only after being attacked and nearly killed. Three years later, and approaching forty, she is tired of her work for the Florida Board on Judicial Conduct and ready for a change.

Then she meets a mysterious woman who is so frightened she uses a number of aliases. Jeri Crosby’s father was murdered twenty years earlier in a case that remains unsolved and that has grown stone cold. But Jeri has a suspect whom she has become obsessed with and has stalked for two decades. Along the way, she has discovered other victims.",368,1,0,0
13,"How to Catch a Turkey",https://images-na.ssl-images-amazon.com/images/I/81XAu0N96KL.jpg,"Adam Wallace",2018,en,"A New York Times Bestseller! From the bestselling How to Catch series comes a festive turkey tale and Thanksgiving book for kids!A turkey is running loose in a school right before a Thanksgiving play.",40,3,1,0
14,"Out of My Mind",https://images-na.ssl-images-amazon.com/images/I/61PLvXIiNIL.jpg,"Sharon M. Draper",2010,en,"Eleven-year-old Melody is not like most people. She can’t walk. She can’t talk. She can’t write. All because she has cerebral palsy. But she also has a photographic memory; she can remember every detail of everything she has ever experienced. She’s the smartest kid in her whole school, but NO ONE knows it. Most people—her teachers, her doctors, her classmates—dismiss her as mentally challenged because she can’t tell them otherwise. But Melody refuses to be defined by her disability. And she’s determined to let everyone know it.",320,2,1,0
15,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI",https://images-na.ssl-images-amazon.com/images/I/814hn1Oe44L.jpg,"David Grann",2017,en,"In the 1920s, the richest people per capita in the world were members of the Osage Indian Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.",352,1,0,0
16,Chanel,https://images-na.ssl-images-amazon.com/images/I/81jR3z7fycL.jpg,"Danièle Bott",2005,en,"Chanel's combination of tradition, originality and style has always made it the most seductive of brands. Here the House of Chanel opens its private archives, revealing a galaxy of brilliant designs created by Coco Chanel from the 1920s onwards, and now reinterpreted to become the motifs for brand new garments, accessories and beauty products.",208,2,0,0
17,"Louis Vuitton: The Birth of Modern Luxury",https://images-na.ssl-images-amazon.com/images/I/91o0uwYEUWL.jpg,"Paul-Gérard Pasols",2005,en,"When Louis Vuitton: The Birth of Modern Luxury was published in 2004, the book was the first to describe the dramatic rise of the world’s finest luxury company. Written with full access to the company’s archives, it demonstrates Louis Vuitton’s passion for fine design with a stunning array of archival art, product designs, and cutting-edge advertising. The company is examined through the lives of its first three leaders—founder Louis (who invented the modern trunk), his son Georges, and his grandson Gaston.",560,1,0,0
18,"A Man & His Watch: Iconic Watches and Stories from the Men",https://market.su-wan.com/wp-content/uploads/sites/7/2021/09/71lQtgS1S4L.jpg,"Matt Hranek",2017,en,"Paul Newman wore his Rolex Daytona every single day for 35 years until his death in 2008. The iconic timepiece, probably the single most sought-after watch in the world, is now in the possession of his daughter Clea, who wears it every day in his memory. Franklin Roosevelt wore an elegant gold Tiffany watch, gifted to him by a friend on his birthday, to the famous Yalta Conference where he shook the hands of Joseph Stalin and Winston Churchill. JFK’s Omega worn to his presidential inauguration, Ralph Lauren’s watch purchased from Andy Warhol’s personal collection, Sir Edmund Hillary’s Rolex worn during the first-ever summit of Mt. Everest . . . these and many more compose the stories of the world’s most coveted watches captured in A Man and His Watch.",216,3,1,0
19,"Cracking the Coding Interview: 189 Programming Questions and Solutions 6th Edition",https://www.ubuy.com.lk/productimg/?image=aHR0cHM6Ly9pbWFnZXMtbmEuc3NsLWltYWdlcy1hbWF6b24uY29tL2ltYWdlcy9JLzQxb1lzWGpMdlpMLl9TUzQwMF8uanBn.jpg,"Gayle Laakmann McDowell",2020,en,"Cracking the Coding Interview, 6th Edition is here to help you through this process, teaching you what you need to know and enabling you to perform at your very best. I've coached and interviewed hundreds of software engineers. The result is this book.

Learn how to uncover the hints and hidden details in a question, discover how to break down a problem into manageable chunks, develop techniques to unstick yourself when stuck, learn (or re-learn) core computer science concepts, and practice on 189 interview questions and solutions.",708,1,0,0
20,"Stock Trader's Almanac 2022 (Almanac Investor Series) 17th Edition",https://target.scene7.com/is/image/Target/GUEST_89bc0a24-25b5-42b1-8c95-5a7e88636159?wid=488&hei=488&fmt=pjpeg,"Jeffrey A. Hirsch",2021,en,"Created by Yale Hirsch in 1967,  the Stock Trader's Almanac has delivered money-making insights and strategies to investors for more than six decades. The Almanac originated such important market phenomena as the ""January Barometer"" and the ""Santa Claus Rally"" and was instrumental in popularizing other tradable strategies, such as ""The Best Six Months Strategy"" (commonly known as ""Sell in May and Go Away"") and the four-year Presidential Election Cycle.",180,1,1,0
21,"The Christmas Pig","https://images-na.ssl-images-amazon.com/images/I/51rg5EDPpDL._SX336_BO1,204,203,200_.jpg","J. K. Rowling",2021,en,"Jack loves his childhood toy, Dur Pig. DP has always been there for him, through good and bad. Until one Christmas Eve something terrible happens -- DP is lost. But Christmas Eve is a night for miracles and lost causes, a night when all things can come to life... even toys. And Jack’s newest toy -- the Christmas Pig (DP’s replacement) -- has a daring plan: Together they’ll embark on a magical journey to seek something lost, and to save the best friend Jack has ever known.",288,4,1,0
22,"The Pioneer Woman Cooks―Super Easy!: 120 Shortcut Recipes for Dinners, Desserts, and More",https://images-na.ssl-images-amazon.com/images/I/815lWq3j-tS.jpg,"Ree Drummond",2020,en,"Between my family, my website, my cookbooks, and my TV show, I make a lot of food around here! And as much as I’ve always loved cooking (and of course, eating!), it seems that more and more these days, I’m looking for ways to simplify my life in the kitchen. I find myself gravitating toward recipes that are delicious but don’t require a lot of prep or fuss, because they free me up to have more time (and energy) for other areas of my life. This also makes cooking less of a chore and more of a pleasure—exactly what cooking should be!",384,1,0,0
