id,title,picture,author,year,language,description,pages,availability,issued,ISBN
1,"The Hero and the Crown",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F77366.The_Hero_and_the_Crown&psig=AOvVaw32KaMymEiNgTPMaeMwOSzT&ust=1636300180948000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCPjX_sOLhPQCFQAAAAAdAAAAABAD,"Robin McKinley",1984,en,"This story focuses on ""Aerin Dragon-Killer"", also known as ""Aerin Firehair"", the heroine who is introduced as a legendary character in The Blue Sword. The book narrates Aerin's evolution from the shy, retiring daughter of the King of Damar to the heroic queen who protects her people from the demonic Northerners.",240,3,2,9780441328093
2,"It's Kind of a Funny Story",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F248704.It_s_Kind_of_a_Funny_Story&psig=AOvVaw0h7Xvyh3WU-zLGHdzdxodV&ust=1636305523522000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLD_vLefhPQCFQAAAAAdAAAAABAD,"Ned Vizzini",2006,en,"An ambitious new student at Manhattan's prestigious Executive Pre-Professional High School, Craig Gilner suddenly discovers that he has become an average kid among a group of brilliant students, a discovery that leads to increasing anxiety and a battle with clinical depression, during which he encounters a motley crew of fellow patients battling their own problems.",464,1,4,9780786851973
3,"The Gemma Doyle Trilogy",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.com%2FGreat-Terrible-Beauty-Gemma-Trilogy%2Fdp%2F0385732317&psig=AOvVaw3MmTVsRB_mocEhCrzyZQBk&ust=1636306160703000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIiF1eahhPQCFQAAAAAdAAAAABAD,"Libba Bray",2003,en,"After the suspicious death of her mother in 1895, 16-year-old Gemma returns to England, after many years in India, to attend a finishing school. There, she becomes aware of her magical powers and ability to see into the spirit world. But what will she find in that strange world?",432,3,3,9780385732314
4,"The House on Mango Street",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.commonsensemedia.org%2Fbook-reviews%2Fthe-house-on-mango-street&psig=AOvVaw0YXmqAS5P_ph0wU_2nKwy_&ust=1636306798647000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOD2w5ekhPQCFQAAAAAdAAAAABAQ,"Sandra Cisneros",1984,en,"For Esperanza, a young girl growing up in the Hispanic quarter of Chicago, life is an endless landscape of concrete and rundown tenements. She tells her story in a series of vignettes, as she tries to rise above the hopelessness of her surroundings and come into her own power.",103,4,2,9780679734772
5,"The Truth About Forever",https://www.google.com/url?sa=i&url=https%3A%2F%2Fsarahdessen.com%2Fbook%2Fthe-truth-about-forever%2F&psig=AOvVaw1j1k6UNtYU5QYavYmozk7R&ust=1636308893994000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCMjU1_2rhPQCFQAAAAAdAAAAABAD,"Sarah Dessen",2004,en,"The summer after her father's death, Macy plans to work at the library and wait for her brainy boyfriend to return from camp; instead, she goes to work at a catering business where she makes new friends and finally faces her grief.",374,3,2,9780756982751
6,"I Capture the Castle",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.com%2FI-Capture-Castle-Dodie-Smith%2Fdp%2F0312201656&psig=AOvVaw2iLKzOf7SmzzzULwPScLzK&ust=1636309346176000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCJiHptyxhPQCFQAAAAAdAAAAABAD,"Dodie Smith",1948,en,"Seventeen-year-old Cassandra Mortmain lives with her older sister, blocked-writer father and bohemian stepmother in a crumbling English castle. Then, a well-to-do American family buys the castle, becoming the Mortmains' landlords. Cassandra uses a diary to record the tumultuous months that follow.",352,2,3,9780312181109
7,"Before I Fall",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F6482837-before-i-fall&psig=AOvVaw0ckTJJ8BPpm4sWYPEgF1b_&ust=1636310775268000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCMDt0_6yhPQCFQAAAAAdAAAAABAD,"Lauren Oliver",2010,en,"Popular, thoughtless Samantha dies in a fiery car crash — but wakes up the next morning, and ends up living out her last day alive seven times in a row, until she finally unravels the mystery of her death.",480,2,4,9780061726811
8,Unwind,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FUnwind_(novel)&psig=AOvVaw2hB62WAlgrVm8AuiV5h3Jz&ust=1636310897362000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKCv1rizhPQCFQAAAAAdAAAAABAD,"Neal Shusterman",2007,en,"In a future world where those between the ages of 13 and 18 can have their lives ""unwound"" and their body parts harvested for use by others, three teens go to extreme lengths to survive until they turn 18.",335,3,1,9781416912057
9,"The Last Unicorn",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F29127.The_Last_Unicorn&psig=AOvVaw3L_ms0S1msna-xopmwGlNm&ust=1636311065586000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCMjKmIm0hPQCFQAAAAAdAAAAABAD,"Peter S. Beagle",1968,en,"The last unicorn leaves the protection of her enchanted lavender forest to search for her own kind, with the assistance of Schmedrick, the only occasionally successful magician, and dreamer Molly Grue.",218,4,2,9781596060838
10,"If I Stay",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.gayleforman.com%2Fbooks%2Fif-i-stay&psig=AOvVaw3-K6pDBespUY0IHDdaQxER&ust=1636311638137000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKjzuJq2hPQCFQAAAAAdAAAAABAD,"Gayle Forman",2009,en,"Seventeen-year-old Mia is in a coma after a terrible car accident that killed her parents. Awakening, she has no memory of the accident, and must put her life back together piece by piece — and decide what to do with it.",210,2,4,9780142415436
11,"The Blue Sword",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F407813.The_Blue_Sword&psig=AOvVaw04VjFNW7xZfB3s0vW3x5OW&ust=1636311767509000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIj0l9m2hPQCFQAAAAAdAAAAABAD,"Robin McKinley",1982,en,"Harry Crewe's boring life in the remote orange-growing province of Daria is disrupted when she's kidnapped by a native king. She discovers power within herself and becomes the heroic Harimad-sol, King's Rider and heir to a magical sword.",320,4,2,9780441012008
12,"The Goose Girl",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F179064.The_Goose_Girl&psig=AOvVaw1QKmNt6DhJEwdX3pAIcwos&ust=1636312104263000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOiewPi3hPQCFQAAAAAdAAAAABAD,"Shannon Hale",2003,en,"On her way to marry a prince she's never met, Princess Anidori is betrayed by her guards and her lady-in-waiting, and must become a goose girl to survive until she can reveal her true identity and reclaim the crown that is rightfully hers.",383,3,1,9781582349909
13,"Daughter of Smoke & Bone",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F8490112-daughter-of-smoke-bone&psig=AOvVaw04Y6lHZZ7xciXCmqKFDkNx&ust=1636312270856000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLDJtMi4hPQCFQAAAAAdAAAAABAD,"Laini Taylor",2011,en,"Seventeen-year-old Karou, a lovely, enigmatic art student living in Prague, has a necklace of wish-granting beads and a sketchbook of hideous, frightening monsters — the chimaerae who form the only family she has ever known.",418,4,1,9780316133999
14,"the house of the scorpion",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.in%2FHouse-Scorpion-Nancy-Farmer%2Fdp%2F0756928087&psig=AOvVaw3Hdfhu9PKIYCToU2Szz9sA&ust=1636312452872000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKiDy6W5hPQCFQAAAAAdAAAAABAD,"Nancy Farmer",2002,en,"In a future where humans despise clones, Matt enjoys special status as the young clone of El Patron, the 142-year-old leader of a corrupt drug empire nestled between Mexico and the United States. Escape is his only chance to survive — but even that may not save him.",380,3,2,9780689852237
15,"Anna and the French Kiss",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.penguinrandomhouse.com%2Fbooks%2F306664%2Fanna-and-the-french-kiss-by-stephanie-perkins%2F&psig=AOvVaw0C55Ux17jF9sEitox7lUE6&ust=1636312768441000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNCtxbW6hPQCFQAAA,"Stephanie Perkins",2010,en,"When Anna's romance-novelist father sends her to an elite American boarding school in Paris for her senior year of high school, she goes reluctantly — and meets the amazing Etienne St. Clair. Will their year of near-misses lead to love?",372,4,1,9780142419403
16,"Le Petit Prince",https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FThe_Little_Prince&psig=AOvVaw2eYC9PjvQGPKNwJBKvPP6W&ust=1636313075873000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKis7Me7hPQCFQAAAAAdAAAAABAD,"Antoine de Saint-Exupéry",1943,fr,"Le Petit Prince is an enchanting little tale about an aviator's chance meeting with a little boy who happens to be visiting Earth from another planet. The aviator crashes in the Sahara desert and damages his airplane to the point where he cannot fly any longer.",140,1,4,9782070364237
17,"L’Étranger",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.com%2FL%25C3%2589tranger-French-Albert-Camus-ebook%2Fdp%2FB00YQICCXK&psig=AOvVaw2s2NTwtTDoLidrcGppKGWu&ust=1636313253492000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIC6vKG8hPQCFQAAAAAdAAAAABAD,"Albert Camus",1942,fr,"Meursault, the narrator, is a young man living in Algiers. After receiving a telegram informing him of his mother's death, he takes a bus to Marengo, where his mother had been living in an old persons' home. He sleeps for almost the entire trip. When he arrives, he speaks to the director of the home.",159,2,1,9782070360024
18,Caligrammes,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.com%2FCalligrammes-Poems-Peace-War-1913-1916%2Fdp%2F0520242122&psig=AOvVaw0E4O8nc_iVx9tZZa5AwVmG&ust=1636313504734000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOig6JO9hPQCFQAAAAAdAAAAABAD,"Guillaume Apollinaire",1918,fr,"A calligram is thus a combination of poetry and visual art. Calligrams can be found in many cultures and civilizations throughout history. This form of art is particularly revered in the Islamic world. In Islam, visually representing divinity is forbidden, so calligrams are used to adorn religious and sacred texts.",500,2,3,9780520242128
19,"Le Père Goriot",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.fr%2FP%25C3%25A8re-Goriot-Honore-Balzac%2Fdp%2F2253085790&psig=AOvVaw2rmvy-FQk8sAGBZ-CMVCvJ&ust=1636313774825000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOCnmpe-hPQCFQAAAAAdAAAAABAD,"Honoré de Balzac",1819,fr,"The novel opens with an extended description of the Maison Vauquer, a boarding house in Paris' rue Neuve-Sainte-Geneviève covered with vines, owned by the widow Madame Vauquer. The residents include the law student Eugène de Rastignac, a mysterious agitator named Vautrin, and an elderly retired vermicelli-maker named Jean-Joachim Goriot. The old man is ridiculed frequently by the other boarders, who soon learn that he has bankrupted himself to support his two well-married daughters.",50,2,4,9782253085799
20,"Contes de la Bécasse”",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.cdiscount.com%2Flivres-bd%2Flivres-scolaire-universitaire%2Fcontes-de-la-becasse%2Ff-10513560801-9782047353790.html&psig=AOvVaw0JSEmlZVImJvIpjpngJQOb&ust=1636314062465000&source=images&cd=vfe&ved=0CAsQ,"Guy de Maupassant",2013,fr,"Chaque automne, un vieux chasseur régalait ses amis de bécasses. Les têtes de ces délicieux oiseaux étaient donnés à un seul convive désigné par le sort. Et ce dernier, pour dédommager les autres, devait raconter une histoire. Les seize nouvelles de ce recueil se situent presque toutes en Normandie où Maupassant vécut une jeunesse heureuse. Ses paysans chasseurs, ses aristocrates, sa rempailleuse, ses pêcheurs sont saisis sur le vif dans leur vie quotidienne. La folie de la femme qui a perdu toute sa famille, l'avarice sordide de la maîtresse du petit chien, la triste vieillesse des danseurs de menuets, la revanche de l'épouse bafouée, Maupassant voit tout dans les détails les plus poignants.",157,2,1,978-1491076743
